               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11768,            0.028867,                   0,           0.0021974,             0.01087,           0.0007443,           0.0001548,             0.12115,            0.025636,                   0,               3e-05,               3e-05,             0.09973
                   1,             0.11528,            0.027764,                   0,           0.0029439,             0.01087,          0.00077021,           0.0001628,             0.11694,            0.023011,                   0,          6.9998e-05,          6.9998e-05,             0.09937
                   2,             0.11235,            0.026392,                   0,           0.0091097,             0.01087,            0.001015,          0.00022272,             0.11001,            0.021046,                   0,          0.00010998,          0.00010998,             0.09901
                   3,             0.10644,            0.026085,                   0,           0.0073164,            0.043478,            0.001896,          0.00030921,            0.099874,            0.019799,                   0,          0.00014995,          0.00014995,             0.09865
                   4,            0.099526,            0.023548,                   0,           0.0068568,            0.021739,            0.001718,          0.00027835,            0.092195,            0.018941,                   0,          0.00018989,          0.00018989,             0.09829
                   5,            0.096681,            0.023823,                   0,            0.025264,             0.01087,            0.001745,          0.00026617,            0.087019,             0.01832,                   0,           0.0002298,           0.0002298,             0.09793
                   6,            0.093059,            0.025686,                   0,           0.0052968,             0.01087,           0.0015728,          0.00027971,            0.082977,            0.017979,                   0,          0.00026965,          0.00026965,             0.09757
                   7,            0.090747,            0.022669,                   0,           0.0019601,             0.34783,           0.0013053,          0.00020871,            0.080052,            0.017719,                   0,          0.00030946,          0.00030946,            0.097209
                   8,            0.089786,              0.0238,                   0,           0.0028549,            0.065217,           0.0013917,          0.00021373,            0.078251,            0.017463,                   0,           0.0003492,           0.0003492,            0.096849
                   9,            0.085336,            0.021266,                   0,           0.0038002,            0.076087,           0.0014945,          0.00025711,            0.076891,             0.01727,                   0,          0.00038888,          0.00038888,            0.096489
                  10,            0.083216,            0.021623,                   0,            0.001983,            0.076087,            0.001235,          0.00022537,            0.075088,            0.017196,                   0,          0.00042847,          0.00042847,            0.096128
                  11,            0.080125,            0.024151,                   0,            0.002577,             0.01087,           0.0014257,          0.00024779,            0.072574,            0.017293,                   0,          0.00046798,          0.00046798,            0.095768
                  12,            0.082391,            0.020591,                   0,           0.0018601,             0.34783,           0.0012818,          0.00025196,            0.071511,             0.01715,                   0,           0.0005074,           0.0005074,            0.095407
                  13,            0.079921,            0.023042,                   0,           0.0018845,             0.43478,           0.0013932,           0.0002812,            0.069936,             0.01708,                   0,           0.0005467,           0.0005467,            0.095047
                  14,            0.078205,            0.024156,                   0,           0.0023088,             0.27174,           0.0019319,          0.00035931,            0.067707,            0.017102,                   0,           0.0005859,           0.0005859,            0.094686
                  15,            0.077234,            0.023938,                   0,           0.0096037,             0.01087,           0.0023094,          0.00046587,            0.065146,             0.01715,                   0,          0.00062498,          0.00062498,            0.094325
                  16,            0.076966,            0.024617,                   0,           0.0060389,             0.01087,           0.0018902,           0.0003566,            0.063895,             0.01707,                   0,          0.00066393,          0.00066393,            0.093964
                  17,            0.074038,            0.021496,                   0,           0.0035576,             0.01087,           0.0022755,          0.00043209,            0.061129,            0.017234,                   0,          0.00070274,          0.00070274,            0.093603
                  18,            0.071929,            0.024027,                   0,           0.0027611,             0.43478,           0.0026607,          0.00053035,            0.059993,            0.017171,                   0,           0.0007414,           0.0007414,            0.093241
                  19,            0.069134,            0.024009,                   0,             0.00355,             0.46739,           0.0033589,          0.00069946,            0.058232,            0.017074,                   0,          0.00077992,          0.00077992,             0.09288
                  20,            0.067612,            0.023482,                   0,            0.006222,             0.70652,           0.0057752,           0.0011066,            0.056204,            0.017055,                   0,          0.00081827,          0.00081827,            0.092518
                  21,            0.067901,            0.023927,                   0,            0.010849,             0.38043,             0.01024,           0.0022214,            0.054854,            0.016967,                   0,          0.00085645,          0.00085645,            0.092156
                  22,            0.065475,            0.024221,                   0,            0.024184,             0.51087,            0.021982,            0.004771,            0.052071,            0.016975,                   0,          0.00089445,          0.00089445,            0.091794
                  23,            0.061786,            0.021495,                   0,            0.067263,             0.33696,            0.056097,            0.014157,            0.051224,            0.016733,                   0,          0.00093227,          0.00093227,            0.091432
                  24,            0.058866,            0.022445,                   0,              0.1319,             0.59783,             0.12148,             0.03678,            0.047719,            0.016718,                   0,          0.00096989,          0.00096989,             0.09107
                  25,            0.058861,            0.025447,                   0,             0.26026,             0.65217,             0.27649,            0.094558,              0.0454,            0.016593,                   0,           0.0010073,           0.0010073,            0.090707
                  26,            0.055102,            0.024039,                   0,            0.072171,             0.52174,            0.069442,            0.013805,            0.052059,            0.015038,                   0,           0.0010445,           0.0010445,            0.090345
                  27,            0.055778,            0.023361,                   0,             0.06039,             0.40217,            0.048884,            0.008711,             0.05428,            0.014583,                   0,           0.0010815,           0.0010815,            0.089982
                  28,            0.058071,            0.024594,                   0,              0.4812,             0.62508,             0.54244,              0.1656,            0.043087,               0.016,                   0,           0.0011183,           0.0011183,            0.089618
                  29,            0.054161,            0.022728,                   0,             0.37927,             0.78261,             0.43372,            0.099582,            0.042954,            0.015416,                   0,           0.0011548,           0.0011548,            0.089255
                  30,            0.052279,            0.021301,                   0,             0.51906,             0.55435,             0.49774,             0.12797,            0.039542,            0.015472,                   0,           0.0011911,           0.0011911,            0.088891
                  31,            0.049012,            0.021211,                   0,              0.4315,             0.72826,             0.48793,             0.16744,            0.040974,            0.014902,                   0,           0.0012272,           0.0012272,            0.088527
